id,url,text,word_count,character_count,posted_date,posted_ago,likes,comments,shares,engagement_rate,hashtags,mentions,has_image,opening_style,tone,has_cta,performance
7468625682198183936,https://www.linkedin.com/feed/update/urn:li:share:7468625679069126656,"This founder built a €35K/month AI agency with no outreach or sales team.

Meet Linus Meister Magsin...",261,1585,2026-06-05T11:32:02.991Z,2d,44,1,1,49,#AI|#business|#founders|#consultant,Linus Meister Magsino,True,hook,neutral,True,low
7458371128286396416,https://www.linkedin.com/feed/update/urn:li:share:7457768982960525312,"We are hiring NB Media

At NB Media, we are looking for a Community Manager who doesn’t just reply t...",123,813,2026-05-08T04:24:06.818Z,1mo,21,2,2,31,#Hiring|#CommunityManager|#SocialMediaCareers|#AudienceEngagement|#NBMedia,,True,statement,neutral,True,low
7461018599860916224,https://www.linkedin.com/feed/update/urn:li:share:7461018598745063424,"This engineer from a Tier 2 college is now the CTO of Anthropic.

Rahul Patil studied at PES Institu...",280,1643,2026-05-15T11:44:13.229Z,3w,112,8,0,128,#engineer|#AI|#career|#success,Rahul Patil,True,hook,neutral,True,medium
7460654185248894976,https://www.linkedin.com/feed/update/urn:li:share:7460654182627172352,We integrated AI into every stage of our production process. It cut our turnaround time in half - wi...,312,1786,2026-05-14T11:36:10.015Z,3w,23,1,0,25,#ai|#production|#workflow|#timesaving,,True,statement,neutral,False,low
7465002197521494018,https://www.linkedin.com/feed/update/urn:li:share:7465002196334620674,"Most people trying to sell AI automation will make $0.

Because businesses don’t pay for “AI agents....",339,2080,2026-05-26T11:33:36.923Z,1w,45,1,2,53,#AI|#business|#founders|#startups,,True,hook,neutral,True,low
7465728072659660801,https://www.linkedin.com/feed/update/urn:li:share:7465728071455760384,A guy with zero coding experience built an AI SaaS that automates dental diagnosis reports. And made...,317,1914,2026-05-28T11:37:59.042Z,1w,89,13,4,127,#AI|#SaaS|#automation|#founders,Ben Webb,True,statement,neutral,True,medium
7466453450357252096,https://www.linkedin.com/feed/update/urn:li:share:7466453449015037953,"India makes over a billion business calls every day. Most of them are still handled by humans.

One ...",277,1630,2026-05-30T11:40:22.562Z,1w,201,5,2,217,#AI|#founders|#startups|#business,Maitreya Wagh|Prateek Sachan,True,hook,neutral,False,high
7437824705878790144,https://www.linkedin.com/feed/update/urn:li:share:7437824704557518849,"Perplexity's AI employee is here, and it can do anything on a computer that you can.

If I were an e...",248,1446,2026-03-12T11:39:57.982Z,2mo,74,3,0,80,#ai|#innovation|#perplexity,Aravind Srinivas,True,hook,neutral,False,medium
7432386951279935488,https://www.linkedin.com/feed/update/urn:li:share:7432386950189416449,"I built a 40-person production team. Then made one structural mistake that nearly killed it.

I gave...",167,1024,2026-02-25T11:32:16.257Z,3mo,28,4,0,36,#team|#structure|#production,,True,statement,neutral,False,low
7463919621344071680,https://www.linkedin.com/feed/update/urn:li:share:7463919620266037248,"The next wave of unicorn businesses will be built on AI-agents.

If you’re building that future, thi...",156,900,2026-05-23T11:51:50.649Z,2w,173,17,6,225,#AI|#agents|#founders|#startups,,True,statement,neutral,False,medium
